"IP","Target C2","OpenPorts","Score(Inbound/Outbound)","Country","Scan Time"
"200.98.72.155","c2_meshagent","80","Safe/Critical","AR","2024-08-09 00:20:21"
"24.176.115.70","c2_mythic","80","Moderate/Critical","US","2024-08-08 13:21:58"
"128.97.52.66","c2_meshagent","443","Safe/Critical","DE","2024-08-09 04:47:58"
"193.29.56.122","c2_metasploit","3790","Moderate/Critical","NL","2024-08-05 21:54:47"
"45.33.116.110","c2_covenant","7443","Low/Critical","CN","2024-07-16 05:45:44"
"116.202.126.24","c2_meshagent","443","Safe/Critical","DE","2024-08-08 23:23:02"
"213.252.247.88","c2_metasploit","3790","Moderate/Critical","RU","2024-08-06 00:03:10"
"54.175.31.82","c2_mythic","80","Low/Critical","RU","2024-08-08 13:33:25"
"201.42.216.9","c2_havoc","443","Safe/Critical","BG","2024-08-07 10:26:52"
"164.90.253.167","c2_havoc","443","Low/Critical","US","2024-08-06 22:23:23"
"129.213.160.16","c2_meshagent","443","Low/Critical","DE","2024-08-09 04:57:52"
"195.90.209.113","c2_metasploit","3790","Critical/Critical","DE","2024-08-05 22:26:12"
"198.211.103.111","c2_metasploit","3790","Low/Critical","RO","2024-08-05 22:56:16"
"51.210.185.44","c2_meshagent","80","Safe/Critical","ES","2024-08-09 00:02:16"
"129.13.32.179","c2_meshagent","443","Safe/Critical","US","2024-08-09 04:58:53"
"50.87.65.199","c2_mythic","443","Critical/Critical","US","2024-08-08 13:38:59"
"8.208.95.78","c2_havoc","443","Critical/Critical","GB","2024-08-08 02:41:19"
"173.230.157.113","c2_mythic","80","Critical/Critical","GB","2024-08-08 16:06:03"
"51.178.27.146","c2_meshagent","443","Safe/Critical","FR","2024-08-09 00:24:26"
"159.203.180.92","c2_mythic","80","Low/Critical","AR","2024-08-09 00:19:26"
"206.83.24.77","c2_meshagent","80","Moderate/Critical","US","2024-08-09 01:25:36"
"5.161.56.37","c2_mythic","80","Critical/Critical","SE","2024-08-08 11:35:00"
"150.136.90.238","c2_covenant","7443","Critical/Critical","US","2024-07-17 17:05:27"
"193.149.189.27","c2_havoc","80","Safe/Critical","GB","2024-08-08 21:20:35"
"138.197.79.113","c2_havoc","443","Low/Critical","HK","2024-08-08 15:40:07"
"129.146.197.26","c2_mythic","443","Low/Critical","US","2024-08-08 21:16:54"
"51.195.90.74","c2_meshagent","443","Low/Critical","IN","2024-08-09 00:14:44"
"210.255.57.172","c2_metasploit","3790","Critical/Critical","RU","2024-08-06 00:02:51"
"20.165.46.156","c2_metasploit","3790","Low/Critical","US","2024-08-05 22:52:21"
"150.136.124.241","c2_mythic","80","Critical/Critical","US","2024-08-08 12:53:05"
"165.227.229.96","c2_covenant","7443","Critical/Critical","DE","2024-07-30 10:49:25"
"221.214.111.106","c2_metasploit","3790","Critical/Critical","US","2024-08-06 00:58:20"
"132.145.210.148","c2_mythic","80","Critical/Critical","US","2024-08-08 12:04:19"
"103.86.177.103","c2_metasploit","3790","Low/Critical","NL","2024-08-06 01:47:09"
"207.6.130.219","c2_meshagent","80","Safe/Critical","CA","2024-08-09 01:44:48"
"116.203.106.129","c2_meshagent","443","Safe/Critical","DE","2024-08-09 00:02:26"
"47.116.25.208","c2_covenant","7443","Dangerous/Critical","CN","2024-07-16 05:45:44"
"80.203.15.24","c2_posh","8443","Safe/Critical","NO","2024-08-04 01:42:23"
"104.131.182.219","c2_mythic","3190","Critical/Critical","CA","2024-08-09 12:53:52"
"111.118.36.69","c2_havoc","443","Safe/Critical","FR","2024-08-09 00:45:44"
"132.145.170.49","c2_meshagent","443","Low/Critical","DE","2024-08-10 03:46:56"
"23.21.80.20","c2_metasploit","3790","Low/Critical","CN","2024-08-06 00:22:44"
"82.202.160.111","c2_meshagent","80","Safe/Critical","FR","2024-08-10 03:45:33"
"46.235.225.138","c2_mythic","443","Safe/Critical","DE","2024-08-09 19:23:51"
"138.197.37.104","c2_havoc","443","Low/Critical","US","2024-08-09 16:39:02"
"176.223.137.173","c2_meshagent","80","Safe/Critical","GB","2024-08-10 05:04:49"
"174.138.41.37","c2_mythic","80","Critical/Critical","US","2024-08-10 04:16:26"
"178.128.237.70","c2_meshagent","80","Low/Critical","CA","2024-08-10 05:17:06"
"68.183.19.125","c2_mythic","80","Critical/Critical","FR","2024-08-09 19:37:26"
"65.108.218.44","c2_mythic","80","Critical/Critical","IN","2024-08-09 20:23:03"
"193.109.120.191","c2_metasploit","3790","Safe/Critical","EE","2024-08-05 22:11:56"
"46.235.224.220","c2_mythic","80","Safe/Safe","GB","2024-08-09 17:05:32"
"45.231.133.54","c2_havoc","443","Critical/Critical","DE","2024-08-07 00:01:51"
"37.120.162.212","c2_mythic","3189","Critical/Critical","CA","2024-08-09 12:49:05"
"107.191.57.153","c2_havoc","443","Safe/Critical","HK","2024-08-08 09:28:13"
"51.15.227.242","c2_mythic","80","Moderate/Critical","FR","2024-08-09 19:31:52"
"218.29.158.91","c2_metasploit","9001","Safe/Critical","NL","2024-08-06 20:17:32"
"173.230.145.168","c2_meshagent","80","Low/Critical","US","2024-08-10 04:14:10"
"50.16.89.251","c2_mythic","80","Low/Critical","DE","2024-08-09 18:16:36"
"173.79.64.43","c2_meshagent","443","Moderate/Critical","US","2024-08-10 04:07:16"
"179.27.92.99","c2_meshagent","80","Moderate/Critical","FR","2024-08-10 05:07:52"
"213.252.246.56","c2_metasploit","3790","Critical/Critical","DE","2024-08-06 00:15:53"
"178.77.73.253","c2_meshagent","80","Safe/Critical","KZ","2024-08-10 05:23:45"
"192.169.6.122","c2_havoc","443","Safe/Critical","US","2024-08-08 01:26:50"
"103.152.254.139","c2_havoc","443","Moderate/Critical","US","2024-08-07 13:30:52"
"156.194.251.137","c2_posh","443","Safe/Critical","EG","2024-07-22 19:55:17"
"173.225.103.212","c2_mythic","80","Moderate/Critical","GB","2024-08-10 04:35:42"
"141.98.233.72","c2_havoc","443","Safe/Critical","CN","2024-08-09 10:01:20"
"163.172.136.161","c2_havoc","443","Moderate/Critical","FR","2024-08-06 12:53:12"
"20.3.244.24","c2_havoc","443","Low/Critical","HK","2024-08-09 01:01:58"
"101.42.21.172","c2_havoc","443","Dangerous/Critical","GB","2024-08-09 19:24:51"
"116.203.22.124","c2_mythic","80","Safe/Critical","US","2024-08-09 19:13:12"
"178.32.93.152","c2_meshagent","80","Safe/Critical","NL","2024-08-10 05:24:04"
"82.66.156.142","c2_meshagent","443","Critical/Critical","AT","2024-08-10 03:39:42"
"174.138.50.225","c2_meshagent","80","Low/Critical","AU","2024-08-10 04:29:22"
"193.3.19.147","c2_metasploit","3790","Dangerous/Critical","AR","2024-08-05 21:34:29"
"81.169.158.60","c2_havoc","443","Critical/Critical","US","2024-08-08 19:29:13"
"152.42.140.119","c2_metasploit","3790","Low/Critical","US","2024-08-06 00:58:20"
"157.173.198.220","c2_covenant","7443","Safe/Critical","US","2024-07-30 08:19:01"
"37.27.10.240","c2_mythic","443","Critical/Critical","US","2024-08-09 14:41:42"
"176.56.237.197","c2_meshagent","80","Safe/Critical","QA","2024-08-10 04:27:55"
"217.114.222.12","c2_metasploit","3790","Low/Critical","FR","2024-08-06 00:15:53"
"202.112.238.106","c2_metasploit","3790","Safe/Critical","US","2024-08-05 23:46:55"
"107.172.57.113","c2_havoc","443","Moderate/Critical","RU","2024-08-08 18:12:32"
"173.249.1.100","c2_meshagent","80","Safe/Critical","US","2024-08-10 04:07:47"
"158.160.84.31","c2_havoc","443","Low/Critical","AU","2024-08-08 18:58:36"
"165.227.229.96","c2_covenant","7443","Critical/Critical","GB","2024-07-30 09:15:05"
"156.194.127.120","c2_posh","443","Safe/Critical","EG","2024-07-18 18:00:57"
"129.146.197.26","c2_mythic","443","Low/Critical","JP","2024-08-10 21:53:32"
"158.247.198.34","c2_havoc","443","Critical/Critical","ES","2024-08-10 19:01:05"
"135.181.201.168","c2_meshagent","443","Safe/Critical","US","2024-08-11 03:03:17"
"221.214.111.106","c2_metasploit","3790","Critical/Critical","KH","2024-08-06 00:33:15"
"165.232.146.140","c2_meshagent","443","Low/Critical","DE","2024-08-11 01:14:22"
"103.86.177.103","c2_metasploit","443","Low/Critical","IN","2024-08-10 09:01:20"
"166.48.31.176","c2_meshagent","443","Safe/Critical","US","2024-08-11 01:50:26"
"134.16.78.61","c2_mythic","30000","Safe/Critical","IL","2024-08-10 23:55:02"
"137.74.224.17","c2_meshagent","443","Moderate/Critical","US","2024-08-11 04:13:13"
"18.225.17.240","c2_meshagent","443","Critical/Critical","US","2024-08-11 01:30:03"
"18.159.203.242","c2_meshagent","443","Low/Critical","US","2024-08-11 03:07:38"
"202.154.57.243","c2_metasploit","3790","Safe/Critical","ES","2024-08-05 23:45:15"
"18.116.238.108","c2_meshagent","443","Critical/Critical","US","2024-08-11 02:36:08"
"194.233.90.144","c2_metasploit","3790","Safe/Critical","FR","2024-08-05 22:26:36"
"209.160.70.177","c2_mythic","80","Safe/Critical","US","2024-08-10 14:00:15"
"135.181.105.168","c2_meshagent","443","Moderate/Critical","UA","2024-08-11 01:45:41"
"209.160.68.62","c2_mythic","80","Safe/Critical","US","2024-08-10 14:00:17"
"202.125.94.123","c2_metasploit","3790","Moderate/Critical","US","2024-08-05 23:39:04"
"96.252.51.245","c2_meshagent","80","Safe/Critical","US","2024-08-11 03:12:12"
"195.128.100.180","c2_metasploit","3790","Critical/Critical","PE","2024-08-05 23:08:08"
"130.250.191.118","c2_mythic","443","Dangerous/Critical","FR","2024-08-10 23:46:06"
"190.14.159.20","c2_metasploit","3790","Safe/Critical","DE","2024-08-05 22:11:57"
"212.47.237.233","c2_mythic","443","Moderate/Critical","DE","2024-08-10 17:12:03"
"159.65.114.122","c2_havoc","443","Low/Critical","US","2024-08-11 01:43:56"
"13.200.173.229","c2_mythic","443","Critical/Critical","IN","2024-08-11 00:48:56"
"96.38.31.195","c2_meshagent","443","Safe/Critical","US","2024-08-11 03:22:23"
"18.189.254.81","c2_meshagent","443","Low/Critical","FI","2024-08-11 02:39:06"
"132.145.210.148","c2_mythic","443","Critical/Critical","FR","2024-08-11 00:40:57"
"18.224.84.65","c2_meshagent","443","Low/Critical","US","2024-08-11 02:31:36"
"138.84.8.31","c2_meshagent","443","Safe/Critical","DE","2024-08-11 04:25:33"
"13.208.186.222","c2_mythic","443","Low/Critical","US","2024-08-10 21:56:46"
"52.91.235.206","c2_meshagent","443","Low/Critical","US","2024-08-11 04:26:10"
"66.115.138.116","c2_mythic","80","Critical/Critical","CA","2024-08-10 14:45:39"
"18.212.211.217","c2_meshagent","443","Critical/Critical","US","2024-08-11 03:14:16"
"172.104.187.12","c2_havoc","443","Critical/Critical","SC","2024-08-10 17:59:24"
"129.80.2.53","c2_mythic","443","Low/Critical","US","2024-08-10 20:05:53"
"139.59.161.102","c2_havoc","80","Low/Critical","US","2024-08-09 16:26:04"
"104.248.0.193","c2_havoc","443","Low/Critical","HK","2024-08-09 21:02:48"
"161.35.239.100","c2_mythic","443","Critical/Critical","US","2024-08-11 02:42:13"
"101.200.153.204","c2_meshagent","443","Safe/Critical","CN","2024-08-11 03:29:49"
"103.195.6.58","c2_havoc","80","Safe/Critical","GB","2024-08-10 10:06:21"
"212.87.213.120","c2_mythic","443","Low/Critical","DE","2024-08-10 17:10:21"
"52.205.241.18","c2_havoc","443","Low/Critical","DE","2024-08-10 21:05:25"
"20.75.52.151","c2_metasploit","3790","Low/Critical","SG","2024-08-05 22:22:16"
"154.216.20.40","c2_havoc","443","Safe/Critical","KR","2024-08-10 20:43:35"
"207.244.239.105","c2_metasploit","3790","Critical/Critical","US","2024-08-05 23:46:54"
"137.184.78.220","c2_havoc","443","Low/Critical","US","2024-08-11 04:34:09"
"209.160.65.55","c2_mythic","80","Safe/Critical","US","2024-08-10 14:00:08"
"167.172.53.165","c2_covenant","7443","Low/Critical","US","2024-07-17 17:05:27"
"54.79.123.238","c2_posh","443","Low/Critical","EG","2024-07-22 19:55:17"
"209.160.68.44","c2_mythic","80","Safe/Critical","US","2024-08-11 16:31:35"
"107.191.57.153","c2_havoc","443","Safe/Critical","PT","2024-08-11 06:05:36"
"65.21.74.74","c2_meshagent","80","Moderate/Critical","FI","2024-08-12 03:01:03"
"193.29.56.122","c2_metasploit","3790","Moderate/Critical","US","2024-08-05 21:54:51"
"141.147.22.89","c2_meshagent","443","Critical/Critical","US","2024-08-12 01:02:17"
"81.43.22.192","c2_havoc","80","Moderate/Critical","US","2024-08-09 16:26:04"
"20.224.28.238","c2_meshagent","80","Low/Critical","US","2024-08-12 02:20:32"
"80.203.15.24","c2_posh","8443","Safe/Critical","NO","2024-08-04 01:42:23"
"3.127.190.89","c2_metasploit","80","Low/Critical","RU","2024-08-11 07:48:38"
"213.183.56.138","c2_metasploit","3790","Safe/Critical","DE","2024-08-06 00:15:53"
"31.207.45.151","c2_metasploit","3790","Safe/Critical","CN","2024-08-06 00:22:44"
"178.18.254.10","c2_covenant","7443","Safe/Critical","GB","2024-07-30 09:15:05"
"207.180.215.36","c2_metasploit","3790","Safe/Critical","HK","2024-08-05 23:23:49"
"165.227.250.1","c2_mythic","443","Critical/Critical","IN","2024-08-11 19:18:59"
"199.71.60.149","c2_mythic","443","Critical/Critical","US","2024-08-11 20:15:10"
"209.160.66.107","c2_mythic","80","Safe/Critical","US","2024-08-11 16:28:52"
"62.20.208.5","c2_meshagent","80","Moderate/Critical","GB","2024-08-12 01:33:07"
"217.114.222.10","c2_metasploit","3790","Low/Critical","FR","2024-08-06 00:15:53"
"80.82.77.211","c2_havoc","443","Safe/Critical","HK","2024-08-11 14:59:10"
"62.240.153.19","c2_meshagent","443","Safe/Critical","DE","2024-08-12 01:12:10"
"217.160.39.160","c2_metasploit","3790","Critical/Critical","ES","2024-08-06 00:15:53"
"62.232.90.76","c2_meshagent","80","Critical/Critical","SE","2024-08-12 01:20:35"
"63.250.44.135","c2_mythic","80","Critical/Critical","SG","2024-08-11 23:06:06"
"20.79.154.216","c2_meshagent","443","Low/Critical","CA","2024-08-12 01:08:29"
"218.29.158.91","c2_metasploit","3790","Safe/Critical","NL","2024-08-06 01:47:09"
"152.42.140.119","c2_metasploit","3790","Low/Critical","DE","2024-08-06 01:31:10"
"209.160.71.15","c2_mythic","80","Safe/Critical","US","2024-08-11 16:26:49"
"13.48.147.99","c2_mythic","443","Critical/Critical","IN","2024-08-11 19:25:51"
"62.204.41.39","c2_meshagent","443","Critical/Critical","US","2024-08-12 01:47:02"
"20.220.168.222","c2_meshagent","80","Low/Critical","US","2024-08-12 02:13:08"
"96.126.124.160","c2_mythic","80","Critical/Critical","US","2024-08-11 22:38:37"
"209.160.70.34","c2_mythic","80","Safe/Critical","US","2024-08-11 16:31:43"
"217.76.49.39","c2_metasploit","3790","Dangerous/Critical","LT","2024-08-06 00:03:08"
"213.252.246.56","c2_metasploit","3790","Critical/Critical","RU","2024-08-06 00:02:51"
"119.28.83.149","c2_havoc","443","Critical/Critical","US","2024-08-11 14:53:31"
"193.149.189.27","c2_havoc","443","Safe/Critical","ES","2024-08-10 19:01:05"
"104.37.234.2","c2_meshagent","443","Moderate/Critical","US","2024-08-12 01:31:45"
"209.160.64.101","c2_mythic","80","Safe/Critical","US","2024-08-11 16:29:36"
"20.3.244.24","c2_havoc","443","Low/Critical","DE","2024-08-08 13:07:46"
"208.85.17.127","c2_metasploit","3790","Dangerous/Critical","JP","2024-08-05 23:50:29"
"64.225.0.19","c2_meshagent","443","Low/Critical","US","2024-08-12 02:11:33"
"193.32.162.64","c2_metasploit","3790","Critical/Critical","DE","2024-08-05 22:11:57"
"138.197.79.113","c2_havoc","80","Low/Critical","NL","2024-08-11 08:23:21"
"62.109.6.142","c2_meshagent","80","Moderate/Critical","RU","2024-08-12 01:46:58"
"209.160.67.137","c2_mythic","80","Safe/Critical","US","2024-08-11 16:31:40"
"213.109.202.4","c2_metasploit","3790","Safe/Critical","LT","2024-08-06 00:03:08"
"101.42.21.172","c2_havoc","443","Dangerous/Critical","US","2024-08-11 19:25:21"
"64.23.188.124","c2_meshagent","80","Critical/Critical","US","2024-08-12 02:16:44"
"5.230.253.211","c2_covenant","7443","Critical/Critical","DE","2024-07-30 23:06:40"
"156.194.127.120","c2_posh","443","Safe/Critical","EG","2024-07-18 18:00:57"
"132.145.210.148","c2_mythic","80","Critical/Critical","US","2024-08-11 21:44:47"
"154.223.21.197","c2_havoc","443","Safe/Critical","US","2024-08-11 09:09:00"
"66.42.52.228","c2_meshagent","80","Safe/Critical","US","2024-08-13 00:02:51"
"209.195.169.238","c2_metasploit","3790","Safe/Critical","US","2024-08-05 23:46:54"
"64.52.109.154","c2_meshagent","80","Moderate/Critical","IN","2024-08-12 23:06:40"
"203.95.193.100","c2_metasploit","3790","Critical/Critical","HK","2024-08-05 23:23:49"
"50.16.59.183","c2_mythic","80","Low/Critical","GB","2024-08-12 10:26:46"
"207.244.239.105","c2_metasploit","3790","Critical/Critical","US","2024-08-05 23:39:04"
"46.235.225.138","c2_mythic","80","Safe/Critical","GB","2024-08-12 10:30:34"
"65.36.48.30","c2_meshagent","80","Safe/Critical","US","2024-08-12 22:59:04"
"20.75.52.151","c2_metasploit","3790","Low/Critical","DE","2024-08-05 22:26:12"
"65.108.88.18","c2_meshagent","80","Dangerous/Critical","FI","2024-08-12 23:14:33"
"156.194.73.65","c2_posh","443","Safe/Critical","EG","2024-07-21 10:19:27"
"119.42.55.215","c2_meshagent","443","Critical/Critical","MY","2024-08-13 04:42:14"
"185.100.232.12","c2_meshagent","80","Safe/Critical","RU","2024-08-13 02:18:02"
"51.15.227.242","c2_mythic","80","Moderate/Critical","GB","2024-08-12 13:32:04"
"52.205.241.18","c2_havoc","443","Low/Critical","SG","2024-08-10 19:42:52"
"65.108.255.250","c2_meshagent","80","Low/Critical","FI","2024-08-12 23:06:39"
"45.33.116.110","c2_covenant","7443","Low/Critical","US","2024-07-30 08:19:01"
"192.25.14.77","c2_metasploit","3790","Safe/Critical","NL","2024-08-05 21:53:49"
"94.156.65.211","c2_havoc","443","Safe/Critical","PK","2024-08-12 20:24:33"
"65.2.170.133","c2_meshagent","80","Low/Critical","FI","2024-08-12 23:06:17"
"65.109.161.82","c2_meshagent","80","Safe/Critical","US","2024-08-12 23:06:25"
"88.80.187.129","c2_mythic","80","Critical/Critical","DE","2024-08-12 13:23:43"
"3.214.191.105","c2_mythic","443","Low/Critical","US","2024-08-11 22:18:05"
"103.195.6.58","c2_havoc","443","Safe/Critical","NL","2024-08-11 16:29:59"
"137.184.45.196","c2_havoc","443","Low/Critical","GB","2024-08-11 23:18:55"
"137.184.78.220","c2_havoc","443","Low/Critical","HK","2024-08-12 00:21:01"
"49.13.116.197","c2_mythic","80","Critical/Critical","SG","2024-08-12 10:55:56"
"77.50.224.79","c2_mythic","443","Critical/Critical","AR","2024-08-12 02:52:22"
"185.51.10.188","c2_meshagent","80","Safe/Critical","NL","2024-08-13 02:23:46"
"159.223.0.103","c2_havoc","443","Low/Critical","DE","2024-08-11 15:23:16"
"185.90.72.175","c2_meshagent","80","Moderate/Critical","KZ","2024-08-13 02:23:39"
"201.230.41.186","c2_metasploit","3790","Moderate/Critical","US","2024-08-05 23:00:24"
"185.14.67.20","c2_meshagent","80","Safe/Critical","DE","2024-08-13 02:43:57"
"104.248.0.193","c2_havoc","443","Low/Critical","US","2024-08-12 01:00:19"
"107.161.22.118","c2_mythic","80","Critical/Critical","US","2024-08-12 08:32:10"
"193.37.69.169","c2_metasploit","3790","Safe/Critical","SG","2024-08-05 22:22:16"
"217.182.8.47","c2_metasploit","3790","Safe/Critical","LT","2024-08-06 00:03:08"
"195.90.209.113","c2_metasploit","3790","Critical/Critical","FR","2024-08-05 22:26:36"
"164.90.253.167","c2_havoc","443","Low/Critical","US","2024-08-11 22:19:04"
"66.183.160.36","c2_meshagent","80","Critical/Critical","US","2024-08-12 23:55:51"
"210.2.169.205","c2_havoc","443","Safe/Critical","PK","2024-08-12 20:42:33"
"116.203.145.200","c2_meshagent","80","Moderate/Critical","IL","2024-08-13 02:52:53"
"185.233.83.94","c2_meshagent","80","Safe/Critical","AT","2024-08-13 02:31:23"
"23.94.14.250","c2_mythic","443","Critical/Critical","IN","2024-08-11 19:25:51"
"46.235.229.45","c2_mythic","80","Safe/Critical","US","2024-08-12 13:06:27"
"117.211.10.121","c2_meshagent","443","Critical/Critical","DE","2024-08-13 02:30:53"
"167.172.53.165","c2_covenant","7443","Low/Critical","GB","2024-07-30 09:09:24"
"80.203.15.24","c2_posh","8443","Safe/Critical","NO","2024-08-04 01:42:23"
"54.164.113.46","c2_mythic","80","Critical/Critical","GB","2024-08-12 16:28:29"
"20.51.213.216","c2_havoc","80","Low/Critical","NL","2024-08-12 15:41:19"
"121.121.80.94","C2","80","Safe/Critical","AT","2024-08-14 04:15:47"
"217.160.39.160","c2_metasploit","3790","Critical/Critical","ES","2024-08-06 00:15:53"
"178.236.129.102","c2_meshagent","80","Moderate/Critical","CY","2024-08-14 03:17:29"
"158.247.198.34","c2_havoc","443","Critical/Critical","DE","2024-08-11 15:23:16"
"79.137.197.154","c2_meshagent","443","Safe/Critical","IN","2024-08-14 05:10:05"
"212.47.237.233","c2_mythic","443","Moderate/Critical","DE","2024-08-13 01:32:39"
"212.87.213.120","c2_mythic","443","Low/Critical","DE","2024-08-13 00:35:38"
"5.75.236.224","c2_meshagent","80","Critical/Critical","DK","2024-08-14 03:26:32"
"157.173.198.220","c2_covenant","7443","Safe/Critical","FR","2024-07-30 13:44:52"
"23.230.3.164","c2_mythic","443","Dangerous/Critical","US","2024-08-13 04:07:52"
"146.190.54.180","c2_meshagent","80","Low/Critical","DE","2024-08-14 03:37:53"
"107.172.57.113","c2_havoc","443","Moderate/Critical","ID","2024-08-13 15:05:08"
"172.233.121.249","c2_havoc","80","Low/Critical","NL","2024-08-13 03:09:00"
"193.29.56.122","c2_metasploit","3790","Moderate/Critical","AR","2024-08-05 21:34:29"
"79.143.20.18","c2_meshagent","80","Safe/Critical","MK","2024-08-14 05:44:58"
"81.169.158.60","c2_havoc","443","Critical/Critical","GB","2024-08-08 02:41:19"
"178.33.41.145","c2_mythic","443","Safe/Critical","US","2024-08-14 04:38:29"
"54.37.139.180","c2_mythic","80","Critical/Critical","FR","2024-08-12 20:33:48"
"220.158.233.123","c2_metasploit","3790","Critical/Critical","US","2024-08-06 00:58:20"
"188.40.59.236","c2_mythic","443","Safe/Critical","IN","2024-08-13 09:40:42"
"202.154.57.243","c2_metasploit","3790","Safe/Critical","JP","2024-08-05 23:50:29"
"217.76.49.39","c2_metasploit","3790","Dangerous/Critical","RU","2024-08-06 00:03:10"
"5.161.65.195","c2_meshagent","80","Low/Critical","US","2024-08-14 03:35:19"
"5.206.199.231","c2_meshagent","80","Safe/Critical","GB","2024-08-14 03:21:51"
"159.65.114.122","c2_havoc","80","Low/Critical","NL","2024-08-12 10:19:59"
"146.235.229.221","c2_meshagent","443","Low/Critical","US","2024-08-14 04:11:01"
"130.250.191.118","c2_mythic","443","Dangerous/Critical","NZ","2024-08-13 13:32:02"
"5.35.16.70","c2_meshagent","443","Safe/Critical","AU","2024-08-14 03:47:40"
"18.175.58.230","c2_mythic","443","Critical/Critical","FR","2024-08-13 02:03:30"
"178.63.172.20","c2_metasploit","3790","Moderate/Critical","CN","2024-08-06 00:40:29"
"78.43.57.226","c2_meshagent","80","Safe/Critical","DE","2024-08-14 04:15:44"
"120.27.141.2","c2_meshagent","443","Moderate/Critical","FR","2024-08-14 03:08:13"
"65.108.218.44","c2_mythic","80","Critical/Critical","US","2024-08-12 17:23:06"
"51.255.45.74","c2_havoc","80","Moderate/Critical","US","2024-08-08 23:21:30"
"212.87.213.113","c2_mythic","80","Safe/Critical","EE","2024-08-13 02:47:02"
"63.250.44.135","c2_mythic","80","Critical/Critical","US","2024-08-12 21:45:46"
"185.236.78.56","c2_havoc","443","Safe/Critical","ES","2024-08-13 12:25:31"
"52.201.104.124","c2_mythic","80","Low/Safe","US","2024-08-12 21:46:00"
"184.168.21.97","c2_mythic","80","Critical/Critical","CA","2024-08-12 23:54:47"
"213.183.56.138","c2_metasploit","3790","Safe/Critical","HU","2024-08-05 23:59:16"
"178.24.140.112","c2_meshagent","443","Safe/Critical","CA","2024-08-14 03:35:51"
"75.177.113.184","c2_meshagent","80","Safe/Critical","NL","2024-08-14 03:22:12"
"122.170.2.74","c2_meshagent","443","Safe/Critical","AU","2024-08-14 04:50:59"
"202.112.238.106","c2_metasploit","3790","Safe/Critical","KR","2024-08-05 23:23:35"
"185.38.142.151","c2_havoc","80","Moderate/Critical","GB","2024-08-10 10:06:21"
"139.144.31.218","c2_mythic","443","Critical/Critical","US","2024-08-13 17:31:15"
"165.227.229.96","c2_covenant","7443","Critical/Critical","DE","2024-07-30 23:06:40"
"156.194.251.137","c2_posh","443","Safe/Critical","EG","2024-07-21 10:19:27"
"137.184.39.229","c2_mythic","7443","Low/Critical","SG","2024-08-15 01:10:20"
"192.169.6.122","c2_havoc","443","Safe/Critical","US","2024-08-10 23:14:32"
"79.241.225.24","c2_meshagent","80","Safe/Critical","DE","2024-08-15 03:21:06"
"31.207.45.151","c2_metasploit","3790","Safe/Critical","CN","2024-08-06 00:40:29"
"110.78.165.92","c2_meshagent","443","Critical/Critical","US","2024-08-15 01:15:53"
"217.114.222.10","c2_metasploit","3790","Low/Critical","DE","2024-08-06 00:15:53"
"64.15.71.30","c2_mythic","80","Critical/Critical","NL","2024-08-14 19:48:18"
"210.2.169.205","c2_havoc","443","Safe/Critical","SG","2024-08-13 10:21:47"
"185.229.32.95","c2_mythic","443","Safe/Critical","US","2024-08-14 20:36:16"
"23.21.80.20","c2_metasploit","443","Low/Critical","IN","2024-08-13 15:23:27"
"159.223.0.103","c2_havoc","443","Low/Critical","US","2024-08-13 13:09:17"
"107.172.100.174","c2_mythic","80","Dangerous/Critical","GB","2024-08-14 17:07:46"
"164.90.253.167","c2_havoc","443","Low/Critical","NL","2024-08-11 16:29:59"
"79.137.205.178","c2_meshagent","80","Safe/Critical","DE","2024-08-15 03:21:30"
"78.153.130.157","c2_meshagent","80","Critical/Critical","DE","2024-08-15 03:06:06"
"213.252.247.88","c2_metasploit","3790","Moderate/Critical","LT","2024-08-06 00:03:08"
"101.42.21.172","c2_havoc","443","Dangerous/Critical","ID","2024-08-14 17:47:37"
"188.166.180.187","c2_mythic","7443","Low/Critical","US","2024-08-14 23:10:28"
"104.131.182.219","c2_mythic","80","Critical/Critical","US","2024-08-14 16:52:03"
"78.46.226.5","c2_meshagent","80","Safe/Critical","DE","2024-08-15 03:18:37"
"79.241.131.45","c2_meshagent","80","Safe/Critical","NL","2024-08-15 03:28:39"
"79.233.3.55","c2_meshagent","8080","Safe/Critical","US","2024-08-15 05:07:49"
"157.230.85.101","c2_meshagent","443","Critical/Critical","DE","2024-08-15 01:50:42"
"213.109.202.4","c2_metasploit","3790","Safe/Critical","RU","2024-08-06 00:03:10"
"207.180.215.36","c2_metasploit","3790","Safe/Critical","DE","2024-08-05 23:39:00"
"221.214.111.106","c2_metasploit","3790","Critical/Critical","DE","2024-08-06 01:31:10"
"45.33.116.110","c2_covenant","7443","Low/Critical","US","2024-07-30 21:43:53"
"77.46.46.68","c2_meshagent","80","Moderate/Critical","GB","2024-08-15 02:41:12"
"78.46.158.103","c2_meshagent","80","Safe/Critical","DE","2024-08-15 03:34:06"
"103.16.181.123","c2_mythic","80","Critical/Critical","US","2024-08-14 16:31:54"
"76.211.113.146","c2_meshagent","80","Safe/Critical","RU","2024-08-15 02:23:37"
"78.141.197.102","c2_meshagent","80","Moderate/Critical","DE","2024-08-15 03:00:55"
"184.146.123.218","c2_meshagent","80","Critical/Critical","US","2024-08-15 02:10:46"
